path	options	metrics
combustion/PDRFoam/flamePropagationWithObstacles/ha/0	{'ksp_type': 'cg', 'pc_type': 'asm'}	{'iter': 2, 'mem': 29545960.0, 'norm': 1.989048e-12, 'time': 0.001453772}
combustion/PDRFoam/flamePropagationWithObstacles/ha/0	{'ksp_type': 'cg', 'pc_type': 'gamg'}	{'iter': 3, 'mem': 31363030.0, 'norm': 3.529957e-08, 'time': 0.01183822}
combustion/PDRFoam/flamePropagationWithObstacles/ha/0	{'ksp_type': 'cg', 'pc_type': 'jacobi'}	{'iter': 3, 'mem': 27583320.0, 'norm': 1.080548e-08, 'time': 0.0002506102}
combustion/PDRFoam/flamePropagationWithObstacles/ha/0	{'ksp_type': 'cg', 'pc_type': 'lu'}	{'iter': 1, 'mem': 35317800.0, 'norm': 2.62886e-14, 'time': 0.01246694}
combustion/PDRFoam/flamePropagationWithObstacles/ha/0	{'ksp_type': 'cg', 'pc_type': 'ilu'}	{'iter': 2, 'mem': 28080950.0, 'norm': 1.989048e-12, 'time': 0.0005241027}
combustion/PDRFoam/flamePropagationWithObstacles/ha/0	{'ksp_type': 'bicg', 'pc_type': 'none'}	{'iter': 65, 'mem': 27314340.0, 'norm': 0.237291, 'time': 0.005074561}
combustion/PDRFoam/flamePropagationWithObstacles/ha/0	{'ksp_type': 'bicg', 'pc_type': 'asm'}	{'iter': 2, 'mem': 29755350.0, 'norm': 1.989048e-12, 'time': 0.001644589}
combustion/PDRFoam/flamePropagationWithObstacles/ha/0	{'ksp_type': 'bicg', 'pc_type': 'gamg'}	{'iter': 3, 'mem': 31395060.0, 'norm': 3.529957e-08, 'time': 0.01296998}
combustion/PDRFoam/flamePropagationWithObstacles/ha/0	{'ksp_type': 'bicg', 'pc_type': 'jacobi'}	{'iter': 3, 'mem': 27847020.0, 'norm': 1.080548e-08, 'time': 0.0004317549}
combustion/PDRFoam/flamePropagationWithObstacles/ha/0	{'ksp_type': 'bicg', 'pc_type': 'lu'}	{'iter': 1, 'mem': 35113780.0, 'norm': 2.62886e-14, 'time': 0.0128127}
combustion/PDRFoam/flamePropagationWithObstacles/ha/0	{'ksp_type': 'bicg', 'pc_type': 'ilu'}	{'iter': 2, 'mem': 28591760.0, 'norm': 1.989048e-12, 'time': 0.0007244882}
combustion/PDRFoam/flamePropagationWithObstacles/ha/0	{'ksp_type': 'richardson', 'pc_type': 'none'}	{'iter': 1, 'mem': 27026020.0, 'norm': 164348600000.0, 'time': 7.03089e-05}
combustion/PDRFoam/flamePropagationWithObstacles/ha/0	{'ksp_type': 'richardson', 'pc_type': 'asm'}	{'iter': 2, 'mem': 29977760.0, 'norm': 1.354887e-11, 'time': 0.001395113}
combustion/PDRFoam/flamePropagationWithObstacles/ha/0	{'ksp_type': 'richardson', 'pc_type': 'gamg'}	{'iter': 5, 'mem': 31068490.0, 'norm': 0.0, 'time': 0.01210867}
combustion/PDRFoam/flamePropagationWithObstacles/ha/0	{'ksp_type': 'richardson', 'pc_type': 'jacobi'}	{'iter': 3, 'mem': 27516760.0, 'norm': 2.561928e-07, 'time': 0.0001746033}
combustion/PDRFoam/flamePropagationWithObstacles/ha/0	{'ksp_type': 'richardson', 'pc_type': 'lu'}	{'iter': 1, 'mem': 35062660.0, 'norm': 2.093765e-14, 'time': 0.01240093}
combustion/PDRFoam/flamePropagationWithObstacles/ha/0	{'ksp_type': 'richardson', 'pc_type': 'ilu'}	{'iter': 2, 'mem': 28256090.0, 'norm': 1.354887e-11, 'time': 0.0004883111}
combustion/PDRFoam/flamePropagationWithObstacles/ha/0	{'ksp_type': 'gmres', 'pc_type': 'none'}	{'iter': 66, 'mem': 30362170.0, 'norm': 0.205391, 'time': 0.006340666}
combustion/PDRFoam/flamePropagationWithObstacles/ha/0	{'ksp_type': 'gmres', 'pc_type': 'asm'}	{'iter': 2, 'mem': 30616780.0, 'norm': 2.592331e-12, 'time': 0.001432209}
combustion/PDRFoam/flamePropagationWithObstacles/ha/0	{'ksp_type': 'gmres', 'pc_type': 'gamg'}	{'iter': 3, 'mem': 31666300.0, 'norm': 3.39323e-08, 'time': 0.01202165}
combustion/PDRFoam/flamePropagationWithObstacles/ha/0	{'ksp_type': 'gmres', 'pc_type': 'jacobi'}	{'iter': 3, 'mem': 29221640.0, 'norm': 8.413419e-09, 'time': 0.000428044}
combustion/PDRFoam/flamePropagationWithObstacles/ha/0	{'ksp_type': 'gmres', 'pc_type': 'lu'}	{'iter': 1, 'mem': 34962100.0, 'norm': 2.477446e-12, 'time': 0.01242758}
combustion/PDRFoam/flamePropagationWithObstacles/ha/0	{'ksp_type': 'gmres', 'pc_type': 'ilu'}	{'iter': 2, 'mem': 28915880.0, 'norm': 2.592331e-12, 'time': 0.00053526}
combustion/PDRFoam/flamePropagationWithObstacles/ha/0	{'ksp_type': 'chebyshev', 'pc_type': 'none'}	{'iter': 291, 'mem': 29969780.0, 'norm': 0.2352319, 'time': 0.009694247}
combustion/PDRFoam/flamePropagationWithObstacles/ha/0	{'ksp_type': 'chebyshev', 'pc_type': 'asm'}	{'iter': 23, 'mem': 31698580.0, 'norm': 4.006996e-06, 'time': 0.002969717}
combustion/PDRFoam/flamePropagationWithObstacles/ha/0	{'ksp_type': 'chebyshev', 'pc_type': 'gamg'}	{'iter': 27, 'mem': 32342510.0, 'norm': 6.228832e-06, 'time': 0.02017087}
combustion/PDRFoam/flamePropagationWithObstacles/ha/0	{'ksp_type': 'chebyshev', 'pc_type': 'jacobi'}	{'iter': 27, 'mem': 29937250.0, 'norm': 6.260727e-06, 'time': 0.00127743}
combustion/PDRFoam/flamePropagationWithObstacles/ha/0	{'ksp_type': 'chebyshev', 'pc_type': 'lu'}	{'iter': 23, 'mem': 36638150.0, 'norm': 4.002665e-06, 'time': 0.01865048}
combustion/PDRFoam/flamePropagationWithObstacles/ha/0	{'ksp_type': 'chebyshev', 'pc_type': 'ilu'}	{'iter': 23, 'mem': 30127390.0, 'norm': 4.006996e-06, 'time': 0.001842356}

combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'cg', 'pc_type': 'none'}	{'iter': 65, 'mem': 27135800.0, 'norm': 0.2255968, 'time': 0.003344618}
combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'cg', 'pc_type': 'asm'}	{'iter': 2, 'mem': 29566570.0, 'norm': 6.436499e-13, 'time': 0.001450085}
combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'cg', 'pc_type': 'gamg'}	{'iter': 3, 'mem': 31433480.0, 'norm': 2.447536e-08, 'time': 0.01181432}
